"Name","Id","Description","Type","AssignmentsCount","AssignableScopesCount","AssignableScopesMG","AssignableScopes","DataRelated","RoleAssWriteCapable","Actions","NotActions","DataActions","NotDataActions"
"Autonomous Development Platform Data Contributor (Preview)","b8b15564-4fa6-4a59-ab12-03e1d9594795","Grants permissions to upload and manage new Autonomous Development Platform measurements.","Builtin","0","","","/","true","False","Microsoft.AutonomousDevelopmentPlatform/*/read; Microsoft.Authorization/*/read; Microsoft.Resources/subscriptions/resourceGroups/read","","Microsoft.AutonomousDevelopmentPlatform/accounts/dataPools/discoveries/*; Microsoft.AutonomousDevelopmentPlatform/accounts/dataPools/uploads/*; Microsoft.AutonomousDevelopmentPlatform/accounts/dataPools/measurements/states/new/*; Microsoft.AutonomousDevelopmentPlatform/accounts/dataPools/measurementCollections/*; Microsoft.AutonomousDevelopmentPlatform/accounts/measurementCollections/*; Microsoft.AutonomousDevelopmentPlatform/workspaces/discoveries/*; Microsoft.AutonomousDevelopmentPlatform/workspaces/uploads/*; Microsoft.AutonomousDevelopmentPlatform/workspaces/measurements/states/new/*; Microsoft.AutonomousDevelopmentPlatform/workspaces/measurementCollections/*","Microsoft.AutonomousDevelopmentPlatform/accounts/dataPools/measurements/states/new/changeState/action; Microsoft.AutonomousDevelopmentPlatform/workspaces/measurements/states/new/changeState/action"
"Autonomous Development Platform Data Owner (Preview)","27f8b550-c507-4db9-86f2-f4b8e816d59d","Grants full access to Autonomous Development Platform data.","Builtin","0","","","/","true","False","Microsoft.AutonomousDevelopmentPlatform/*/read; Microsoft.Authorization/*/read; Microsoft.Resources/subscriptions/resourceGroups/read","","Microsoft.AutonomousDevelopmentPlatform/*",""
"Autonomous Development Platform Data Reader (Preview)","d63b75f7-47ea-4f27-92ac-e0d173aaf093","Grants read access to Autonomous Development Platform data.","Builtin","0","","","/","true","False","Microsoft.AutonomousDevelopmentPlatform/*/read; Microsoft.Authorization/*/read; Microsoft.Resources/subscriptions/resourceGroups/read","","Microsoft.AutonomousDevelopmentPlatform/*/read",""
"Avere Contributor","4f8fab4f-1852-4a58-a46a-8eaf358af14a","Can create and manage an Avere vFXT cluster.","Builtin","0","","","/","true","False","Microsoft.Authorization/*/read; Microsoft.Compute/*/read; Microsoft.Compute/availabilitySets/*; Microsoft.Compute/proximityPlacementGroups/*; Microsoft.Compute/virtualMachines/*; Microsoft.Compute/disks/*; Microsoft.Network/*/read; Microsoft.Network/networkInterfaces/*; Microsoft.Network/virtualNetworks/read; Microsoft.Network/virtualNetworks/subnets/read; Microsoft.Network/virtualNetworks/subnets/join/action; Microsoft.Network/virtualNetworks/subnets/joinViaServiceEndpoint/action; Microsoft.Network/networkSecurityGroups/join/action; Microsoft.Resources/deployments/*; Microsoft.Insights/alertRules/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Storage/*/read; Microsoft.Storage/storageAccounts/*; Microsoft.Support/*; Microsoft.Resources/subscriptions/resourceGroups/resources/read","","Microsoft.Storage/storageAccounts/blobServices/containers/blobs/delete; Microsoft.Storage/storageAccounts/blobServices/containers/blobs/read; Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write",""
"Avere Operator","c025889f-8102-4ebf-b32c-fc0c6f0c6bd9","Used by the Avere vFXT cluster to manage the cluster","Builtin","0","","","/","true","False","Microsoft.Compute/virtualMachines/read; Microsoft.Network/networkInterfaces/read; Microsoft.Network/networkInterfaces/write; Microsoft.Network/virtualNetworks/read; Microsoft.Network/virtualNetworks/subnets/read; Microsoft.Network/virtualNetworks/subnets/join/action; Microsoft.Network/networkSecurityGroups/join/action; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Storage/storageAccounts/blobServices/containers/delete; Microsoft.Storage/storageAccounts/blobServices/containers/read; Microsoft.Storage/storageAccounts/blobServices/containers/write","","Microsoft.Storage/storageAccounts/blobServices/containers/blobs/delete; Microsoft.Storage/storageAccounts/blobServices/containers/blobs/read; Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write",""
"Azure Arc Enabled Kubernetes Cluster User Role","00493d72-78f6-4148-b6c5-d3ce8e4799dd","List cluster user credentials action.","Builtin","0","","","/","false","False","Microsoft.Resources/deployments/write; Microsoft.Resources/subscriptions/operationresults/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Kubernetes/connectedClusters/listClusterUserCredentials/action; Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Support/*; Microsoft.Kubernetes/connectedClusters/listClusterUserCredential/action","","",""
"Azure Arc Kubernetes Admin","dffb1e0c-446f-4dde-a09f-99eb5cc68b96","Lets you manage all resources under cluster/namespace, except update or delete resource quotas and namespaces.","Builtin","0","","","/","true","False","Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Resources/deployments/write; Microsoft.Resources/subscriptions/operationresults/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","Microsoft.Kubernetes/connectedClusters/apps/controllerrevisions/read; Microsoft.Kubernetes/connectedClusters/apps/daemonsets/*; Microsoft.Kubernetes/connectedClusters/apps/deployments/*; Microsoft.Kubernetes/connectedClusters/apps/replicasets/*; Microsoft.Kubernetes/connectedClusters/apps/statefulsets/*; Microsoft.Kubernetes/connectedClusters/authorization.k8s.io/localsubjectaccessreviews/write; Microsoft.Kubernetes/connectedClusters/autoscaling/horizontalpodautoscalers/*; Microsoft.Kubernetes/connectedClusters/batch/cronjobs/*; Microsoft.Kubernetes/connectedClusters/batch/jobs/*; Microsoft.Kubernetes/connectedClusters/configmaps/*; Microsoft.Kubernetes/connectedClusters/endpoints/*; Microsoft.Kubernetes/connectedClusters/events.k8s.io/events/read; Microsoft.Kubernetes/connectedClusters/events/read; Microsoft.Kubernetes/connectedClusters/extensions/daemonsets/*; Microsoft.Kubernetes/connectedClusters/extensions/deployments/*; Microsoft.Kubernetes/connectedClusters/extensions/ingresses/*; Microsoft.Kubernetes/connectedClusters/extensions/networkpolicies/*; Microsoft.Kubernetes/connectedClusters/extensions/replicasets/*; Microsoft.Kubernetes/connectedClusters/limitranges/read; Microsoft.Kubernetes/connectedClusters/namespaces/read; Microsoft.Kubernetes/connectedClusters/networking.k8s.io/ingresses/*; Microsoft.Kubernetes/connectedClusters/networking.k8s.io/networkpolicies/*; Microsoft.Kubernetes/connectedClusters/persistentvolumeclaims/*; Microsoft.Kubernetes/connectedClusters/pods/*; Microsoft.Kubernetes/connectedClusters/policy/poddisruptionbudgets/*; Microsoft.Kubernetes/connectedClusters/rbac.authorization.k8s.io/rolebindings/*; Microsoft.Kubernetes/connectedClusters/rbac.authorization.k8s.io/roles/*; Microsoft.Kubernetes/connectedClusters/replicationcontrollers/*; Microsoft.Kubernetes/connectedClusters/replicationcontrollers/*; Microsoft.Kubernetes/connectedClusters/resourcequotas/read; Microsoft.Kubernetes/connectedClusters/secrets/*; Microsoft.Kubernetes/connectedClusters/serviceaccounts/*; Microsoft.Kubernetes/connectedClusters/services/*",""
"Azure Arc Kubernetes Cluster Admin","8393591c-06b9-48a2-a542-1bd6b377f6a2","Lets you manage all resources in the cluster.","Builtin","0","","","/","true","False","Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Resources/deployments/write; Microsoft.Resources/subscriptions/operationresults/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","Microsoft.Kubernetes/connectedClusters/*",""
"Azure Arc Kubernetes Viewer","63f0a09d-1495-4db4-a681-037d84835eb4","Lets you view all resources in cluster/namespace, except secrets.","Builtin","0","","","/","true","False","Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Resources/deployments/write; Microsoft.Resources/subscriptions/operationresults/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","Microsoft.Kubernetes/connectedClusters/apps/controllerrevisions/read; Microsoft.Kubernetes/connectedClusters/apps/daemonsets/read; Microsoft.Kubernetes/connectedClusters/apps/deployments/read; Microsoft.Kubernetes/connectedClusters/apps/replicasets/read; Microsoft.Kubernetes/connectedClusters/apps/statefulsets/read; Microsoft.Kubernetes/connectedClusters/autoscaling/horizontalpodautoscalers/read; Microsoft.Kubernetes/connectedClusters/batch/cronjobs/read; Microsoft.Kubernetes/connectedClusters/batch/jobs/read; Microsoft.Kubernetes/connectedClusters/configmaps/read; Microsoft.Kubernetes/connectedClusters/endpoints/read; Microsoft.Kubernetes/connectedClusters/events.k8s.io/events/read; Microsoft.Kubernetes/connectedClusters/events/read; Microsoft.Kubernetes/connectedClusters/extensions/daemonsets/read; Microsoft.Kubernetes/connectedClusters/extensions/deployments/read; Microsoft.Kubernetes/connectedClusters/extensions/ingresses/read; Microsoft.Kubernetes/connectedClusters/extensions/networkpolicies/read; Microsoft.Kubernetes/connectedClusters/extensions/replicasets/read; Microsoft.Kubernetes/connectedClusters/limitranges/read; Microsoft.Kubernetes/connectedClusters/namespaces/read; Microsoft.Kubernetes/connectedClusters/networking.k8s.io/ingresses/read; Microsoft.Kubernetes/connectedClusters/networking.k8s.io/networkpolicies/read; Microsoft.Kubernetes/connectedClusters/persistentvolumeclaims/read; Microsoft.Kubernetes/connectedClusters/pods/read; Microsoft.Kubernetes/connectedClusters/policy/poddisruptionbudgets/read; Microsoft.Kubernetes/connectedClusters/replicationcontrollers/read; Microsoft.Kubernetes/connectedClusters/replicationcontrollers/read; Microsoft.Kubernetes/connectedClusters/resourcequotas/read; Microsoft.Kubernetes/connectedClusters/serviceaccounts/read; Microsoft.Kubernetes/connectedClusters/services/read",""
"Azure Arc Kubernetes Writer","5b999177-9696-4545-85c7-50de3797e5a1","Lets you update everything in cluster/namespace, except (cluster)roles and (cluster)role bindings.","Builtin","0","","","/","true","False","Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Resources/deployments/write; Microsoft.Resources/subscriptions/operationresults/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","Microsoft.Kubernetes/connectedClusters/apps/controllerrevisions/read; Microsoft.Kubernetes/connectedClusters/apps/daemonsets/*; Microsoft.Kubernetes/connectedClusters/apps/deployments/*; Microsoft.Kubernetes/connectedClusters/apps/replicasets/*; Microsoft.Kubernetes/connectedClusters/apps/statefulsets/*; Microsoft.Kubernetes/connectedClusters/autoscaling/horizontalpodautoscalers/*; Microsoft.Kubernetes/connectedClusters/batch/cronjobs/*; Microsoft.Kubernetes/connectedClusters/batch/jobs/*; Microsoft.Kubernetes/connectedClusters/configmaps/*; Microsoft.Kubernetes/connectedClusters/endpoints/*; Microsoft.Kubernetes/connectedClusters/events.k8s.io/events/read; Microsoft.Kubernetes/connectedClusters/events/read; Microsoft.Kubernetes/connectedClusters/extensions/daemonsets/*; Microsoft.Kubernetes/connectedClusters/extensions/deployments/*; Microsoft.Kubernetes/connectedClusters/extensions/ingresses/*; Microsoft.Kubernetes/connectedClusters/extensions/networkpolicies/*; Microsoft.Kubernetes/connectedClusters/extensions/replicasets/*; Microsoft.Kubernetes/connectedClusters/limitranges/read; Microsoft.Kubernetes/connectedClusters/namespaces/read; Microsoft.Kubernetes/connectedClusters/networking.k8s.io/ingresses/*; Microsoft.Kubernetes/connectedClusters/networking.k8s.io/networkpolicies/*; Microsoft.Kubernetes/connectedClusters/persistentvolumeclaims/*; Microsoft.Kubernetes/connectedClusters/pods/*; Microsoft.Kubernetes/connectedClusters/policy/poddisruptionbudgets/*; Microsoft.Kubernetes/connectedClusters/replicationcontrollers/*; Microsoft.Kubernetes/connectedClusters/replicationcontrollers/*; Microsoft.Kubernetes/connectedClusters/resourcequotas/read; Microsoft.Kubernetes/connectedClusters/secrets/*; Microsoft.Kubernetes/connectedClusters/serviceaccounts/*; Microsoft.Kubernetes/connectedClusters/services/*",""
"Azure Arc VMware Administrator role ","ddc140ed-e463-4246-9145-7c664192013f","Arc VMware VM Contributor has permissions to perform all connected VMwarevSphere actions.","Builtin","0","","","/","false","False","Microsoft.ConnectedVMwarevSphere/*; Microsoft.Insights/AlertRules/Write; Microsoft.Insights/AlertRules/Delete; Microsoft.Insights/AlertRules/Read; Microsoft.Insights/AlertRules/Activated/Action; Microsoft.Insights/AlertRules/Resolved/Action; Microsoft.Insights/AlertRules/Throttled/Action; Microsoft.Insights/AlertRules/Incidents/Read; Microsoft.Resources/deployments/read; Microsoft.Resources/deployments/write; Microsoft.Resources/deployments/delete; Microsoft.Resources/deployments/cancel/action; Microsoft.Resources/deployments/validate/action; Microsoft.Resources/deployments/whatIf/action; Microsoft.Resources/deployments/exportTemplate/action; Microsoft.Resources/deployments/operations/read; Microsoft.Resources/deployments/operationstatuses/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/write; Microsoft.Resources/subscriptions/resourcegroups/deployments/operations/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/operationstatuses/read; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Authorization/*/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Resources/subscriptions/operationresults/read","","",""
"Azure Arc VMware Private Cloud User","ce551c02-7c42-47e0-9deb-e3b6fc3a9a83","Azure Arc VMware Private Cloud User has permissions to use the VMware cloud resources to deploy VMs.","Builtin","0","","","/","false","False","Microsoft.Insights/AlertRules/Write; Microsoft.Insights/AlertRules/Delete; Microsoft.Insights/AlertRules/Read; Microsoft.Insights/AlertRules/Activated/Action; Microsoft.Insights/AlertRules/Resolved/Action; Microsoft.Insights/AlertRules/Throttled/Action; Microsoft.Insights/AlertRules/Incidents/Read; Microsoft.Resources/deployments/read; Microsoft.Resources/deployments/write; Microsoft.Resources/deployments/delete; Microsoft.Resources/deployments/cancel/action; Microsoft.Resources/deployments/validate/action; Microsoft.Resources/deployments/whatIf/action; Microsoft.Resources/deployments/exportTemplate/action; Microsoft.Resources/deployments/operations/read; Microsoft.Resources/deployments/operationstatuses/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/write; Microsoft.Resources/subscriptions/resourcegroups/deployments/operations/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/operationstatuses/read; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Authorization/*/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Resources/subscriptions/operationresults/read; Microsoft.ConnectedVMwarevSphere/virtualnetworks/join/action; Microsoft.ConnectedVMwarevSphere/virtualnetworks/Read; Microsoft.ConnectedVMwarevSphere/virtualmachinetemplates/clone/action; Microsoft.ConnectedVMwarevSphere/virtualmachinetemplates/Read; Microsoft.ConnectedVMwarevSphere/resourcepools/deploy/action; Microsoft.ConnectedVMwarevSphere/resourcepools/Read; Microsoft.ConnectedVMwarevSphere/hosts/deploy/action; Microsoft.ConnectedVMwarevSphere/hosts/Read; Microsoft.ConnectedVMwarevSphere/clusters/deploy/action; Microsoft.ConnectedVMwarevSphere/clusters/Read; Microsoft.ConnectedVMwarevSphere/datastores/allocateSpace/action; Microsoft.ConnectedVMwarevSphere/datastores/Read","","",""
"Azure Arc VMware Private Clouds Onboarding","67d33e57-3129-45e6-bb0b-7cc522f762fa","Azure Arc VMware Private Clouds Onboarding role has permissions to provision all the required resources for onboard and deboard vCenter instances to Azure.","Builtin","0","","","/","false","False","Microsoft.ConnectedVMwarevSphere/vcenters/Write; Microsoft.ConnectedVMwarevSphere/vcenters/Read; Microsoft.ConnectedVMwarevSphere/vcenters/Delete; Microsoft.Insights/AlertRules/Write; Microsoft.Insights/AlertRules/Delete; Microsoft.Insights/AlertRules/Read; Microsoft.Insights/AlertRules/Activated/Action; Microsoft.Insights/AlertRules/Resolved/Action; Microsoft.Insights/AlertRules/Throttled/Action; Microsoft.Insights/AlertRules/Incidents/Read; Microsoft.Resources/deployments/read; Microsoft.Resources/deployments/write; Microsoft.Resources/deployments/delete; Microsoft.Resources/deployments/cancel/action; Microsoft.Resources/deployments/validate/action; Microsoft.Resources/deployments/whatIf/action; Microsoft.Resources/deployments/exportTemplate/action; Microsoft.Resources/deployments/operations/read; Microsoft.Resources/deployments/operationstatuses/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/write; Microsoft.Resources/subscriptions/resourcegroups/deployments/operations/read; Microsoft.Resources/subscriptions/resourcegroups/deployments/operationstatuses/read; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Authorization/*/read; Microsoft.Resources/subscriptions/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Resources/subscriptions/operationresults/read; Microsoft.KubernetesConfiguration/extensions/Write; Microsoft.KubernetesConfiguration/extensions/Read; Microsoft.KubernetesConfiguration/extensions/Delete; Microsoft.KubernetesConfiguration/operations/read; Microsoft.ExtendedLocation/customLocations/Read; Microsoft.ExtendedLocation/customLocations/Write; Microsoft.ExtendedLocation/customLocations/Delete; Microsoft.ExtendedLocation/customLocations/deploy/action; Microsoft.ResourceConnector/appliances/Read; Microsoft.ResourceConnector/appliances/Write; Microsoft.ResourceConnector/appliances/Delete","","",""
