"Type","ScopeMGLevel","Scope","ScopeId","PolicyDisplayName","PolicyDefinitionName","PolicyDefinitionId","PolicyEffect","PolicyCategory","UniqueAssignments","UsedInPolicySetsCount","UsedInPolicySet4CSV","CreatedOn","CreatedBy","UpdatedOn","UpdatedBy"
"BuiltIn","","","","Storage account keys should not be expired","044985bb-afe1-42cd-8a36-9d5d42424537","/providers/microsoft.authorization/policydefinitions/044985bb-afe1-42cd-8a36-9d5d42424537","Default: Audit; Allowed: Audit,Deny,Disabled","Storage","0","1","New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a)","","","",""
"BuiltIn","","","","Azure Cosmos DB allowed locations","0473574d-2d43-4217-aefe-941fcdf7e684","/providers/microsoft.authorization/policydefinitions/0473574d-2d43-4217-aefe-941fcdf7e684","Default: deny; Allowed: deny,audit,disabled","Cosmos DB","0","0","","","","",""
"BuiltIn","","","","[Deprecated]: SQL managed instances should use customer-managed keys to encrypt data at rest","048248b0-55cd-46da-b1ff-39efd52db260","/providers/microsoft.authorization/policydefinitions/048248b0-55cd-46da-b1ff-39efd52db260","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","SQL","0","0","","","","",""
"BuiltIn","","","","[Preview]: Network traffic data collection agent should be installed on Linux virtual machines","04c4380f-3fae-46e8-96c9-30193528f602","/providers/microsoft.authorization/policydefinitions/04c4380f-3fae-46e8-96c9-30193528f602","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Monitoring","0","8","[Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); HITRUST/HIPAA (/providers/microsoft.authorization/policysetdefinitions/a169a624-5599-4385-a696-c8d643089fab); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","Shared dashboards should not have markdown tiles with inline content","04c655fe-0ac7-48ae-9a32-3a2e208c7624","/providers/microsoft.authorization/policydefinitions/04c655fe-0ac7-48ae-9a32-3a2e208c7624","Default: Audit; Allowed: Audit,Deny,Disabled","Portal","0","0","","","","",""
"BuiltIn","","","","Deploy Diagnostic Settings for Service Bus to Log Analytics workspace","04d53d87-841c-4f23-8a5b-21564380b55e","/providers/microsoft.authorization/policydefinitions/04d53d87-841c-4f23-8a5b-21564380b55e","Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled","Monitoring","0","2","[Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Deploy Diagnostic Settings to Azure Services (/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/deploy-diagnostics-loganalytics)","","","",""
"BuiltIn","","","","Configure Linux Virtual Machine Scale Sets to be associated with a Data Collection Rule","050a90d5-7cce-483f-8f6c-0df462036dda","/providers/microsoft.authorization/policydefinitions/050a90d5-7cce-483f-8f6c-0df462036dda","Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled","Monitoring","0","0","","","","",""
"BuiltIn","","","","Azure API for FHIR should use a customer-managed key to encrypt data at rest","051cba44-2429-45b9-9649-46cec11c7119","/providers/microsoft.authorization/policydefinitions/051cba44-2429-45b9-9649-46cec11c7119","Default: audit; Allowed: audit,disabled","API for FHIR","0","7","CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); Deny or Audit resources without Encryption with a customer-managed key (CMK) (/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/enforce-encryption-cmk); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","Deploy Log Analytics extension for Linux VMs","053d3325-282c-4e5c-b944-24faffd30d77","/providers/microsoft.authorization/policydefinitions/053d3325-282c-4e5c-b944-24faffd30d77","Fixed: deployIfNotExists","Monitoring","0","1","Enable Azure Monitor for VMs (/providers/microsoft.authorization/policysetdefinitions/55f3eceb-5573-4f18-9695-226972c6d74a)","","","",""
"BuiltIn","","","","Azure Web Application Firewall should be enabled for Azure Front Door entry-points","055aa869-bc98-4af8-bafc-23f1ab6ffe2c","/providers/microsoft.authorization/policydefinitions/055aa869-bc98-4af8-bafc-23f1ab6ffe2c","Default: Audit; Allowed: Audit,Deny,Disabled","Network","0","9","[Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); [Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","Private endpoint should be enabled for PostgreSQL servers","0564d078-92f5-4f97-8398-b9f58a51f70b","/providers/microsoft.authorization/policydefinitions/0564d078-92f5-4f97-8398-b9f58a51f70b","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","SQL","0","10","[Deprecated]: Azure Security Benchmark v1 (/providers/microsoft.authorization/policysetdefinitions/42a694ed-f65e-42b2-aa9e-8052e9740a92); [Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); [Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","Vulnerability Assessment settings for SQL server should contain an email address to receive scan reports","057d6cfe-9c4f-4a6d-bc60-14420ea1f1a9","/providers/microsoft.authorization/policydefinitions/057d6cfe-9c4f-4a6d-bc60-14420ea1f1a9","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","SQL","0","5","[Preview]: Australian Government ISM PROTECTED (/providers/microsoft.authorization/policysetdefinitions/27272c0b-c225-4cc3-b8b0-f2534b093077); [Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); CIS Microsoft Azure Foundations Benchmark v1.3.0 (/providers/microsoft.authorization/policysetdefinitions/612b5213-9160-4969-8578-1518bd2a000c); CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a)","","","",""
"BuiltIn","","","","Resource logs in Azure Data Lake Store should be enabled","057ef27e-665e-4328-8ea3-04b3122bd9fb","/providers/microsoft.authorization/policydefinitions/057ef27e-665e-4328-8ea3-04b3122bd9fb","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Data Lake","0","11","[Deprecated]: Azure Security Benchmark v1 (/providers/microsoft.authorization/policysetdefinitions/42a694ed-f65e-42b2-aa9e-8052e9740a92); [Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); CIS Microsoft Azure Foundations Benchmark v1.3.0 (/providers/microsoft.authorization/policysetdefinitions/612b5213-9160-4969-8578-1518bd2a000c); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); HITRUST/HIPAA (/providers/microsoft.authorization/policysetdefinitions/a169a624-5599-4385-a696-c8d643089fab); New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","Configure Azure File Sync to use private DNS zones","06695360-db88-47f6-b976-7500d4297475","/providers/microsoft.authorization/policydefinitions/06695360-db88-47f6-b976-7500d4297475","Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled","Storage","0","1","Configure Azure PaaS services to use private DNS zones (/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/deploy-private-dns-zones)","","","",""
"BuiltIn","","","","[Deprecated]: Audit SQL DB Level Audit Setting","06a78e20-9358-41c9-923c-fb736d382a12","/providers/microsoft.authorization/policydefinitions/06a78e20-9358-41c9-923c-fb736d382a12","Fixed: AuditIfNotExists","SQL","0","0","","","","",""
"BuiltIn","","","","Audit VMs that do not use managed disks","06a78e20-9358-41c9-923c-fb736d382a4d","/providers/microsoft.authorization/policydefinitions/06a78e20-9358-41c9-923c-fb736d382a4d","Fixed: audit","Compute","0","4","[Preview]: SWIFT CSP-CSCF v2020 (/providers/microsoft.authorization/policysetdefinitions/3e0c67fc-8c7c-406c-89bd-6b6bdc986a22); CIS Microsoft Azure Foundations Benchmark v1.3.0 (/providers/microsoft.authorization/policysetdefinitions/612b5213-9160-4969-8578-1518bd2a000c); ISO 27001:2013 (/providers/microsoft.authorization/policysetdefinitions/89c6cddc-1c73-4ac1-b19c-54d1a15a42f2); UK OFFICIAL and UK NHS (/providers/microsoft.authorization/policysetdefinitions/3937f550-eedd-4639-9c5e-294358be442e)","","","",""
"BuiltIn","","","","Cognitive Services accounts should disable public network access","0725b4dd-7e76-479c-a735-68e7ee23d5ca","/providers/microsoft.authorization/policydefinitions/0725b4dd-7e76-479c-a735-68e7ee23d5ca","Default: Audit; Allowed: Audit,Deny,Disabled","Cognitive Services","0","9","[Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","CORS should not allow every resource to access your Function Apps","0820b7b9-23aa-4725-a1ce-ae4558f718e5","/providers/microsoft.authorization/policydefinitions/0820b7b9-23aa-4725-a1ce-ae4558f718e5","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","App Service","0","12","[Deprecated]: Azure Security Benchmark v1 (/providers/microsoft.authorization/policysetdefinitions/42a694ed-f65e-42b2-aa9e-8052e9740a92); [Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); [Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); HITRUST/HIPAA (/providers/microsoft.authorization/policysetdefinitions/a169a624-5599-4385-a696-c8d643089fab); New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","Deploy - Configure Log Analytics extension to be enabled on Windows virtual machines","0868462e-646c-4fe3-9ced-a733534b6a2c","/providers/microsoft.authorization/policydefinitions/0868462e-646c-4fe3-9ced-a733534b6a2c","Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled","Monitoring","0","2","[Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Enable Azure Monitor for VMs (/providers/microsoft.authorization/policysetdefinitions/55f3eceb-5573-4f18-9695-226972c6d74a)","","","",""
"BuiltIn","","","","Audit Windows machines on which the DSC configuration is not compliant","08a2f2d2-94b2-4a7b-aa3b-bb3f523ee6fd","/providers/microsoft.authorization/policydefinitions/08a2f2d2-94b2-4a7b-aa3b-bb3f523ee6fd","Fixed: auditIfNotExists","Guest Configuration","0","0","","","","",""
"BuiltIn","","","","Azure Edge Hardware Center devices should have double encryption support enabled","08a6b96f-576e-47a2-8511-119a212d344d","/providers/microsoft.authorization/policydefinitions/08a6b96f-576e-47a2-8511-119a212d344d","Default: Audit; Allowed: Audit,Deny,Disabled","Azure Edge Hardware Center","0","0","","","","",""
"BuiltIn","","","","Configure Data Factories to disable public network access","08b1442b-7789-4130-8506-4f99a97226a7","/providers/microsoft.authorization/policydefinitions/08b1442b-7789-4130-8506-4f99a97226a7","Default: Modify; Allowed: Modify,Disabled","Data Factory","0","0","","","","",""
"BuiltIn","","","","[Deprecated]: Audit Web Applications that are not using latest supported PHP Framework","08b17839-76c6-4015-90e0-33d9d54d219c","/providers/microsoft.authorization/policydefinitions/08b17839-76c6-4015-90e0-33d9d54d219c","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Security Center","0","0","","","","",""
"BuiltIn","","","","Deploy Diagnostic Settings for Search Services to Log Analytics workspace","08ba64b8-738f-4918-9686-730d2ed79c7d","/providers/microsoft.authorization/policydefinitions/08ba64b8-738f-4918-9686-730d2ed79c7d","Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled","Monitoring","0","2","[Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Deploy Diagnostic Settings to Azure Services (/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/deploy-diagnostics-loganalytics)","","","",""
